Gender German,Noun German,English US,Difficulty,Topic,German,Rule Ending
der,Aal,eel,M,Animals,der Aal,Regal
der,Abend,evening,A,Time,der Abend,Hund
das,Abendessen,dinner,A,Food,das Abendessen,
das,Abenteuer,adventure,B,Leisure,das Abenteuer,Tiger
der,Abfall,garbage,A,Society,der Abfall,Fußball
das,Abitur,A-levels,A,Education,das Abitur,Natur
das,Abo,subscription ,A,Society,das Abo,Foto
die,Abschlussfeier,graduation ceremony ,A,Education,die Abschlussfeier,Tiger
die,Absicht,intention,A,Psychology,die Absicht,
der,Absturz,crash,M,Society,der Absturz,
die,Abteilung,department,M,Society,die Abteilung,Kleidung
die,Abwesenheit,absence,M,Conceptional,die Abwesenheit,Langsamkeit
der,Abzug,deduction,A,Conceptional,der Abzug,
das,Achselzucken,shrug,A,Society,das Achselzucken,
der,Adler,eagle,B,Animals,der Adler,Tiger
die,Adresse,address,B,Society,die Adresse,Giraffe
der,Advent,advent,B,Society,der Advent,
die,Affäre,affair,M,Conceptional,die Affäre,Giraffe
der,Affe,monkey,B,Animals,der Affe,Giraffe
der,Agent,agent,M,Work,der Agent,
die,Agentur,agency,B,Work,die Agentur,Natur
die,Agrikultur,agriculture,B,Work,die Agrikultur,Natur
der,Airbag,airbag,A,Transportation,der Airbag,Schlag
die,Akrobatik,acrobatics,M,Leisure,die Akrobatik,Musik
der,Akt,act,B,Conceptional,der Akt,
die,Aktentasche,briefcase,A,Work,die Aktentasche,Giraffe
die,Aktie,share,A,Work,die Aktie,Giraffe
die,Aktion,action,B,Leisure,die Aktion,Emotion
die,Aktion,action ,B,Military,die Aktion,Emotion
die,Aktivität,activity,B,Leisure,die Aktivität,Antiquität
der,Akzent,accent,M,Society,der Akzent,
der,Albtraum,nightmare,A,Psychology,der Albtraum,Museum
das,Album,album,B,The arts,das Album,Museum
der,Alkohol,alcohol,B,Food,der Alkohol,
das,Allgemeine,generality,A,Conceptional,das Allgemeine,Giraffe
die,Allianz,alliance,M,Military,die Allianz,Eleganz
der,Alligator,alligator,B,Animals,der Alligator,Alligator
der,Altar,altar,M,Society,der Altar,
das,Alter,age,B,Time,das Alter,Tiger
das,Aluminium,aluminum,A,Conceptional,das Aluminium,Museum
die,Ameise,ant,A,Animals,die Ameise,Giraffe
die,Amsel,blackbird,A,Animals,die Amsel,Büffel
die ,Ananas,pineapple,M,Food,die  Ananas,
der,Anfang,beginning,A,Time,der Anfang,
die,Anforderung,request,A,Society,die Anforderung,Kleidung
die,Anforderung,requirement,A,Work,die Anforderung,Kleidung
das,Angebot,offer,A,Shopping,das Angebot,
die,Angel,hinge,A,House,die Angel,Büffel
das,Angeln,fishing,A,Leisure,das Angeln,
der,Angestellte,employee (male),B,Work,der Angestellte,Giraffe
die,Angewohnheit,habit,M,Psychology,die Angewohnheit,Langsamkeit
der,Angriff,attack,M,Military,der Angriff,
die,Angst,fear,A,Psychology,die Angst,
der,Anhänger,trailer,M,Transportation,der Anhänger,Tiger
die,Ankunft,arrival,B,Transportation,die Ankunft,
die,Anleitung,instructions,B,Work,die Anleitung,Kleidung
der,Anruf,phone call,B,Work,der Anruf,
der,Ansatz,approach,B,Conceptional,der Ansatz,
der,Anspruch,claim,A,Society,der Anspruch,Bauch
der,Ansturm,onslaught,A,Military,der Ansturm,
die,Antiquität,antiquity,M,The arts,die Antiquität,Antiquität
die,Antwort,answer,B,Science,die Antwort,
die,Antwort,answer,M,Education,die Antwort,
der,Anwalt,attorney,A,Society,der Anwalt,
die ,Anwältin,lawyer (female),A,Work,die Anwältin,Königin
die,Anzahl,number,A,Science,die Anzahl,
die,Anzeige,ad,M,Shopping,die Anzeige,Giraffe
der,Anzug,suit,A,Shopping,der Anzug,
das,Apartment,apartment,B,House,das Apartment,Monument
der,Apfel,apple,B,Food,der Apfel,Büffel
das,Äpfelchen,little apple,M,Food,das Äpfelchen,Häuschen
die ,Aprikose,apricot,A,Food,die  Aprikose,Giraffe
